t    x     y    deg 
0.000   0.00   0.00   0.00 
0.001   0.00   0.00   0.00 
0.201   0.00   0.00   0.00 
0.401   0.00   0.00   0.00 
0.601   0.00   0.00   0.00 
0.801   0.00   0.00   0.00 
1.001   0.00   0.00   0.00 
1.201   0.00   0.00   0.00 
1.401   0.00   0.00   0.00 
1.601   0.00   0.00   0.00 
1.801   0.00   0.00   0.00 
2.001   0.00   0.00   0.00 
2.201   0.00   0.00   0.00 
2.401   0.00   0.00   0.00 
2.601   0.00   0.00   0.00 
2.801   0.00   0.00   0.00 
3.001   0.00   0.00   0.00 
3.201   0.00   0.00   0.00 
3.401   0.00   0.00   0.00 
3.601   0.00   0.00   0.00 
